username,age_days,followers,following,posts_per_day,profile_completeness,avg_likes,avg_comments,archetype
user_normal_135,1116,674,293,2.92,97.6,32.2,2.7,NORMAL
influencer_95,1558,386565,1213,5.18,95.0,35538.3,5833.0,INFLUENCER
user_suspicious_122,20,50,2486,67.81,33.1,0.3,0.0,SUSPICIOUS
user_suspicious_58,121,9,2617,73.66,33.8,0.1,0.0,SUSPICIOUS
user_suspicious_135,158,97,1446,15.01,44.6,1.2,0.0,SUSPICIOUS
user_suspicious_59,18,25,4559,71.75,40.9,0.4,0.0,SUSPICIOUS
user_normal_178,951,984,1316,2.81,76.9,33.6,2.4,NORMAL
user_suspicious_184,99,46,1687,47.5,47.0,0.3,0.0,SUSPICIOUS
user_normal_352,725,4236,5088,1.36,88.4,232.3,25.0,NORMAL
user_new_29,55,147,194,1.08,85.0,13.2,1.9,NEW_LEGITIMATE
user_new_144,1,182,175,2.12,69.7,16.2,2.1,NEW_LEGITIMATE
user_normal_279,957,4837,6575,4.98,71.7,365.7,54.3,NORMAL
edge_both_zero,50,0,0,2.0,50.0,0.0,0.0,EDGE_CASE
user_suspicious_173,101,96,3972,60.11,27.3,0.7,0.0,SUSPICIOUS
user_new_11,22,102,233,3.03,84.2,4.3,0.3,NEW_LEGITIMATE
user_normal_264,295,761,502,1.29,90.7,27.5,2.8,NORMAL
incomplete_36,121,624,58,9.03,3.1,20.7,1.0,INCOMPLETE_PROFILE
user_normal_341,888,4502,4924,1.42,85.7,193.5,25.0,NORMAL
user_normal_343,1413,4663,3575,4.07,79.5,413.0,58.1,NORMAL
user_normal_27,377,2030,2849,4.09,74.5,123.1,14.7,NORMAL
user_normal_3,1617,2533,1265,4.96,88.5,174.6,8.9,NORMAL
user_normal_291,955,4126,2297,1.52,96.7,231.3,32.0,NORMAL
bot_like_1,20,15,3198,146.62,25.4,0.0,0.0,BOT_LIKE
low_engagement_3,165,4826,815,4.17,69.0,23.4,0.1,LOW_ENGAGEMENT
